question,contexts,ground_truth,answer
Я хочу оформить дополнительную карту на супругу. Как это сделать? И будет ли она иметь доступ к общему лимиту по кредитке?,"['«3.2. По заявлению Клиента, переданному в Банк на бумажном носителе или через Дистанционное обслуживание, в рамках Договора кредитной карты Банком может быть выпущена одна или несколько дополнительных Кредитных карт.»', '«3.5. Клиент вправе установить лимит для проведения расходных операций с использованием Кредитной карты.»']","Вы можете оформить дополнительную кредитную карту на супругу, подав заявление в банк на бумажном носителе или через дистанционное обслуживание. Дополнительная карта будет иметь доступ к общему лимиту задолженности по вашей основной кредитной карте, однако вы можете установить отдельный лимит для расходных операций по дополнительной карте.","Для оформления дополнительной карты на супругу, Вам необходимо обратиться в отделение банка Tinkoff или воспользоваться онлайн-сервисом. При себе необходимо иметь паспорт и документы, подтверждающие Ваш брак. После этого Вы сможете оформить дополнительную карту на супругу и она будет иметь доступ к общему лимиту по кредитке. Однако, следует учесть, что для этого необходимо согласование с банком и установление лимита на дополнительную карту."
"А что если я потеряю карту? Сколько у меня есть времени, чтобы ее заблокировать? И как вообще это делается? Через приложение или звонить надо?","['«6.1. При обнаружении утери, кражи или порчи Кредитной карты и/или возникновения подозрений, что Кредитная карта или ее реквизиты, а также ПИН-код, QR-код, Коды доступа, Аутентификационные данные, Абонентский номер, Абонентское устройство могли быть утрачены или похищены, а также в случае изъятия Кредитной карты в банкомате или торгово-сервисном предприятии и в случае изменения имени или фамилии Держателя Клиент должен незамедлительно уведомить Банк по телефонам 8 800 555-10-10 или +7 495 645-59-19 (круглосуточно) и заблокировать Кредитную карту и/или Интернет-Банк и/или Мобильный банк, а также подать заявление о досрочном перевыпуске Кредитной карты.»']","В случае утери или кражи кредитной карты, вы должны незамедлительно уведомить банк по телефонам горячей линии 8 800 555-10-10 или +7 495 645-59-19 (круглосуточно) и заблокировать карту. Также необходимо подать заявление на досрочный перевыпуск новой карты. Чем быстрее вы заблокируете карту, тем меньше риск несанкционированного использования.","Если вы обнаружите, что ваша карта была утеряна, украдена или повреждена, вам следует незамедлительно связаться с Банком и заблокировать карту. Вы можете сделать это через приложение, интернет-банк или позвонив по указанным номерам телефона. Чем быстрее вы это сделаете, тем меньше вероятность несанкционированного использования карты злоумышленниками. После блокировки карты, вы можете подать заявление о досрочном перевыпуске карты. Если карта будет найдена, вы должны вернуть ее в Банк. Использование данной карты в дальнейшем запрещается."
"Прочитал тут у вас про блокировку карточки. А если я её забуду забрать в банкомате, что тогда делать?","['«6.1. [...] а также в случае изъятия Кредитной карты в банкомате или торгово-сервисном предприятии и в случае изменения имени или фамилии Держателя Клиент должен незамедлительно уведомить Банк по телефонам 8 800 555-10-10 или +7 495 645-59-19 (круглосуточно) и заблокировать Кредитную карту и/или Интернет-Банк и/или Мобильный банк, а также подать заявление о досрочном перевыпуске Кредитной карты.»']","Если вы забыли карту в банкомате, вам необходимо незамедлительно сообщить об этом в банк по телефонам горячей линии 8 800 555-10-10 или +7 495 645-59-19 и заблокировать кредитную карту, а также подать заявление на ее досрочный перевыпуск. Это позволит предотвратить возможное несанкционированное использование забытой карты третьими лицами.","Если Вы забыли забрать свою карту из банкомата, то Вам следует как можно скорее связаться с банком через дистанционное обслуживание. Обратитесь в банк, выпустивший карту, чтобы узнать, какие действия необходимо предпринять для получения удержанной банкоматом карты. Некоторые сторонние банки могут потребовать письменный запрос из банка, выпустившего карту, поэтому рекомендуем обратиться в банк, выпустивший карту, для получения дополнительной информации и инструкций."
"А есть ли какие-то льготные условия, если я захочу приостановить выплаты по кредитке на какое-то время? Например, на ремонт или что-то в этом роде?","['«5.15. На основании обращения Клиента и по согласованию с Банком на период от 1 (одного) до 12 (двенадцати) месяцев возможно приостановление обязанности Клиента по погашению Задолженности, по оплате Минимальных платежей, Регулярных платежей и/или иных платежей. В указанный период Банк вправе приостановить начисление процентов и иных сумм, предусмотренных Договором кредитной карты.»']","Да, в документе указано, что по обращению клиента и по согласованию с банком возможно приостановление обязанности по погашению задолженности, выплате минимальных и регулярных платежей на срок от 1 до 12 месяцев. В этот период банк также может приостановить начисление процентов и других сумм по кредитной карте. Таким образом, вы можете получить льготный период для ремонта или других нужд, обратившись в банк с соответствующим заявлением.","Да, в соответствии с условиями программы ""Рассрочка"", Банк может предоставить Клиенту Кредит на условиях отличных от предусмотренных настоящим Разделом. В случае обращения Клиента и по согласованию с Банком на период от 1 (одного) до 12 (двенадцати) месяцев возможно приостановление обязанности Клиента по погашению Задолженности, по оплате Минимальных платежей, Регулярных платежей и/или иных платежей. В указанный период Банк вправе приостановить начисление процентов и иных сумм, предусмотренных Договором кредитной карты."
Какие процедуры предусмотрены банком для обработки жалоб клиентов?,"['Банк имеет установленные процедуры для обработки и рассмотрения жалоб клиентов, включая регистрацию жалобы, ее анализ и предоставление ответа клиенту в установленные сроки.']","Банк следует четко установленным процедурам для обработки жалоб клиентов, которые включают регистрацию жалобы, ее тщательный анализ и предоставление ответа клиенту в соответствии с установленными сроками.","Банк Tinkoff имеет процедуры для обработки жалоб клиентов, которые включают следующие шаги:

1. Клиент может обратиться в Банк с жалобой через различные каналы связи, такие как телефон, электронная почта или личный визит в отделение.

2. При обращении клиента с жалобой, Банк проводит тщательное расследование и анализ ситуации.

3. Если жалоба подтверждается, Банк принимает соответствующие меры для решения проблемы и удовлетворения требований клиента.

4. В случае, если клиент не удовлетворен решением, он может обратиться в независимую организацию по урегулированию споров или в суд.

5. Банк также предоставляет возможность клиентам оставлять отзывы и комментарии о качестве обслуживания, которые могут быть использованы для улучшения работы Банка.

Важно отметить, что Банк Tinkoff стремится к высокому уровню обслуживания клиентов и стремится разрешить все жалобы и претензии в кратчайшие сроки."
Что происходит с депозитами в случае смерти?,['В случае смерти клиента банк замораживает депозиты до решения вопросов наследства в соответствии с законодательством.'],"После смерти клиента банк замораживает все его депозиты и удерживает их до тех пор, пока не будут решены вопросы наследства в соответствии с действующим законодательством.","В случае смерти клиента, его депозиты в банке Tinkoff будут переданы наследникам в соответствии с законодательством Российской Федерации и условиями договора банковского вклада. Для этого необходимо предоставить в банк заявление на получение наследства с корректными реквизитами наследника и свидетельство о праве на наследство. Банк прекратит начисление процентов на депозит, пересчитает проценты в соответствии с условиями договора и направит средства наследнику по указанным реквизитам. Также будут закрыты все счета вклада, накопительные счета и картсчета, а также расторгнут договор вклада."
Могу я отказаться от получения уведомлений от банка и как это влияет на его обслуживание?,"['Клиенты имеют право отказаться от получения определенных типов уведомлений от банка, однако это может повлиять на их способность получать своевременную информацию о изменениях условий, сбоях в системе или других важных обновлениях.']","Клиенты могут отказаться от получения определенных типов уведомлений от банка, но это может привести к тому, что они не будут получать важные обновления и информацию своевременно, что может повлиять на их способность управлять своими счетами и услугами эффективно.","Да, вы можете отказаться от получения уведомлений от банка. Это не повлияет на обслуживание вашего счета или доступ к услугам банка. Однако, если вы откажетесь от всех способов получения информации от банка, то банк не будет нести ответственность за предоставление вам информации. Вы можете запросить предоставление информации любым способом, предусмотренным в условиях договора."
Как я могу увеличить лимит по своей кредитной карте?,"['Для увеличения кредитного лимита клиенты должны подать заявление через мобильное приложение или веб-сайт банка, после чего банк рассмотрит их кредитную историю и текущую финансовую ситуацию.']","Чтобы увеличить кредитный лимит, клиентам необходимо подать соответствующее заявление через мобильное приложение или веб-сайт банка. Банк затем оценит их кредитную историю и текущую финансовую ситуацию перед принятием решения.","Для увеличения лимита по кредитной карте в Банке Tinkoff, Вам необходимо связаться с Банком и подать соответствующую заявку. Обычно, Банк рассматривает заявки на увеличение лимита и принимает решение на основе различных факторов, таких как Ваша кредитная история, доход и финансовое положение. Вы можете подать заявку через онлайн-банкинг или позвонив в службу поддержки клиентов. Пожалуйста, обратитесь к Вашему личному менеджеру или в службу поддержки клиентов для получения дополнительной информации и инструкций по этому вопросу."
"Каковы условия отмены банковской операции, например, перевода средств или платежа?","['Клиенты могут отменить определенные банковские операции, если они не были еще обработаны банком. Условия отмены операций установлены в пользовательском соглашении и зависят от типа операции.']","Условия отмены банковской операции зависят от того, была ли операция уже обработана банком. Для операций, которые еще не обработаны, клиенты могут инициировать отмену, следуя процедурам, описанным в пользовательском соглашении и в зависимости от типа операции.","Условия отмены банковской операции, такой как перевод средств или платеж, зависят от конкретного банка и могут быть указаны в договоре или пользовательском соглашении. В случае с банком Tinkoff, условия отмены операции могут быть указаны в документе, который называется ""Общие условия выпуска и обслуживания кредитных карт"". 

В этом документе указано, что банк вправе отозвать поданное заявление о расторжении до истечения, указанного в настоящем пункте, срока письменно или через Дистанционное обслуживание (в зависимости от формы подачи изначального заявления). Если заявление отозвано в указанный срок, договор кредитной карты продолжает свое действие. Если при расторжении договора кредитной карты в банке находятся денежные средства клиента, излишне перечисленные им при погашении задолженности, банк осуществляет возврат таких денежных средств по распоряжению клиента почтовым переводом или иным способом, указанном в распоряжении клиента. При этом банк вправе удержать из суммы такого перевода комиссию за перевод денежных средств в размере, предусмотренном тарифами на услуги по переводам, платежам и дополнительные услуги с использованием каналов дистанционного обслуживания.

В случае неполучения банком распоряжения клиента о переводе денежных средств в течение 120 (ста двадцати) дней со дня обработки банком последней операции, банк вправе удержать комиссию за перевод денежных средств в размере, предусмотренном тарифами на услуги по переводам, платежам и дополнительные услуги с использованием каналов дистанционного обслуживания.

Однако, для получения более точной информации о конкретных условиях отмены банковской операции, рекомендуется обратиться к договору или пользовательскому соглашению, заключенному с банком Tinkoff."
Какие услуги доступны клиентам через Интернет-банк?,"['Через Интернет-банк клиенты могут управлять своими счетами, осуществлять платежи и переводы, а также получать детальную информацию о своих финансовых операциях.']","Интернет-банк предоставляет клиентам возможности управления их счетами, осуществления платежей и переводов, а также доступ к подробной информации о всех их финансовых операциях.","Клиенты Банка Tinkoff могут воспользоваться широким спектром услуг через Интернет-банк. Среди них:

1. Осуществление платежей и переводов.
2. Управление своими финансами, включая просмотр баланса, историю операций и доступ к выпискам.
3. Открытие и закрытие счетов.
4. Оформление заявок на кредиты и кредитные карты.
5. Обмен валюты.
6. Оплата коммунальных услуг и других счетов.
7. Установка лимитов на операции.
8. Получение информации о продуктах и услугах, предлагаемых Банком.
9. Управление личными данными и настройка безопасности аккаунта.

Все эти услуги доступны через Интернет-банк, Мобильный Банк и Мобильные приложения Банка."
"Я не пользовалась кредиткой год, но у меня там лежат мои 800 рублей, я могу их как-то вернуть?","['""8. Расторжение Договора кредитной карты\n                8.1. Банк вправе в любой момент расторгнуть Договор кредитной карты в одностороннем порядке в случаях, предусмотренных \n                законодательством Российской Федерации, а также:\n                • в случае если Держатель не пользовался Кредитной картой более, чем 6 (шесть) месяцев при отсутствии \n                Задолженности по Договору кредитной карты;\n                В этих случаях Банк блокирует все Кредитные карты/Токены, выпущенные в рамках Договора кредитной карты. Договор \n                кредитной карты считается расторгнутым со дня формирования Банком Заключительного счета, который направляется \n                Клиенту. Если в момент расторжения Договора кредитной карты Задолженность Клиента перед Банком отсутствует, Банк \n                вправе расторгнуть Договор кредитной карты без направления Заключительного счета, информируя Клиента о своем \n                решении любым способом по усмотрению Банка.\n                8.5. В случае, если при расторжении Договора кредитной карты в Банке находятся денежные средства Клиента, излишне \n                перечисленные им при погашении Задолженности, Банк осуществляет возврат таких денежных средств по распоряжению \n                Клиента почтовым переводом или иным способом, указанном в распоряжении Клиента. При этом Банк вправе удержать \n                из суммы такого перевода комиссию за перевод денежных средств в размере, предусмотренном Тарифами на услуги \n                по переводам, платежам и дополнительные услуги с использованием каналов Дистанционного обслуживания.\n                8.6. В случае неполучения Банком распоряжения Клиента о переводе денежных средств в течение 120 (ста двадцати) дней \n                со дня обработки Банком последней операции Клиента/Держателя и, если остаток денежных средств не превышает \n                1000 руб., указанный остаток считается безвозмездно переданным Банку. \n                В случае неполучения Банком распоряжения Клиента о переводе денежных средств в течение 3 (трех) лет со дня обработки \n                Банком последней операции Клиента/Держателя указанные денежные средства считаются безвозмездно переданными \n                Банку.\n                ']","Согласно пунуту 8.6 - вы не можете вернуть ваши деньги, так как не дали распоряжение Банку о переводе денежных средств в течение 120 дней.","Да, согласно условиям кредитной карты Tinkoff, вы можете вернуть свои 800 рублей, которые остались на вашем счету. Для этого вам необходимо обратиться в Банк и подать заявление о возврате денежных средств. Банк вернет вам эти деньги почтовым переводом или иным способом, указанным в вашем распоряжении. Однако, Банк вправе удержать комиссию за перевод денежных средств в размере, предусмотренном Тарифами на услуги по переводам, платежам и дополнительные услуги с использованием каналов Дистанционного обслуживания."
